Date,Gas_Price,Carbon_Price
2018-08-21,24.405000686645508,2482.010009765625
2018-08-22,24.450000762939453,2544.989990234375
2018-08-23,24.760000228881836,2619.5400390625
2018-08-24,24.975000381469727,2659.3798828125
2018-08-27,25.40999984741211,2737.7900390625
2018-08-28,25.360000610351562,2659.3798828125
2018-08-29,25.8700008392334,2706.93994140625
2018-08-30,26.1299991607666,2719.7900390625
2018-08-31,25.834999084472656,2710.800048828125
2018-09-04,26.709999084472656,2593.830078125
2018-09-05,27.020000457763672,2618.25
2018-09-06,27.454999923706055,2759.639892578125
2018-09-07,27.989999771118164,2984.580078125
2018-09-10,29.125,3242.929931640625
2018-09-11,28.780000686645508,3107.969970703125
2018-09-12,27.4950008392334,2949.8701171875
2018-09-13,26.809999465942383,2429.31005859375
2018-09-14,26.93000030517578,2566.840087890625
2018-09-17,28.075000762939453,2691.52001953125
2018-09-18,27.40999984741211,2600.260009765625
2018-09-19,28.31999969482422,2759.639892578125
2018-09-20,28.59000015258789,2831.6201171875
2018-09-21,28.725000381469727,2844.469970703125
2018-09-24,29.2450008392334,2883.030029296875
2018-09-25,29.229999542236328,2731.360107421875
2018-09-26,28.260000228881836,2601.5400390625
2018-09-27,27.575000762939453,2677.3798828125
2018-09-28,27.329999923706055,2726.219970703125
2018-10-01,27.44499969482422,2746.7900390625
2018-10-02,27.2549991607666,2696.659912109375
2018-10-04,27.469999313354492,2742.929931640625
2018-10-05,27.899999618530273,2848.330078125
2018-10-08,27.219999313354492,2820.050048828125
2018-10-09,26.834999084472656,2672.239990234375
2018-10-10,26.219999313354492,2501.2900390625
2018-10-11,25.760000228881836,2553.97998046875
2018-10-12,26.6299991607666,2618.25
2018-10-15,26.625,2388.169921875
2018-10-16,26.329999923706055,2479.429931640625
2018-10-17,25.940000534057617,2476.860107421875
2018-10-18,26.024999618530273,2537.280029296875
2018-10-19,26.860000610351562,2533.419921875
2018-10-22,26.114999771118164,2442.159912109375
2018-10-23,25.665000915527344,2471.719970703125
2018-10-24,25.260000228881836,2520.570068359375
2018-10-25,24.864999771118164,2452.43994140625
2018-10-26,24.280000686645508,2349.610107421875
2018-10-29,24.579999923706055,2143.9599609375
2018-10-30,23.875,2059.1298828125
2018-10-31,24.334999084472656,2102.830078125
2018-11-01,23.649999618530273,2007.7099609375
2018-11-02,24.28499984741211,2195.3701171875
2018-11-05,23.809999465942383,2214.64990234375
2018-11-06,23.895000457763672,2258.35009765625
2018-11-07,24.420000076293945,2393.320068359375
2018-11-08,24.43000030517578,2513.77001953125
2018-11-09,24.325000762939453,2505.840087890625
2018-11-12,25.954999923706055,2634.02001953125
2018-11-13,26.520000457763672,2588.090087890625
2018-11-14,26.280000686645508,2536.510009765625
2018-11-15,26.674999237060547,2445.239990234375
2018-11-16,25.954999923706055,2458.31005859375
2018-11-19,24.149999618530273,2434.52001953125
2018-11-20,24.350000381469727,2501.469970703125
2018-11-21,24.5,2631.340087890625
2018-11-23,24.81999969482422,2594.77001953125
2018-11-26,24.545000076293945,2545.60009765625
2018-11-27,25.15999984741211,2516.60009765625
2018-11-28,24.299999237060547,2476.25
2018-11-29,24.635000228881836,2567.030029296875
2018-11-30,24.690000534057617,2627.550048828125
2018-12-03,25.084999084472656,2646.469970703125
2018-12-04,24.415000915527344,2657.81005859375
2018-12-06,23.165000915527344,2563.25
2018-12-07,23.145000457763672,2602.340087890625
2018-12-10,23.25,2674.199951171875
2018-12-11,23.6200008392334,2585.949951171875
2018-12-12,23.920000076293945,2752.3701171875
2018-12-13,24.225000381469727,2858.280029296875
2018-12-14,24.645000457763672,2990.669921875
2018-12-17,24.68000030517578,3101.6201171875
2018-12-18,23.729999542236328,3067.580078125
2018-12-19,24.209999084472656,3104.139892578125
2018-12-20,24.604999542236328,3085.22998046875
2018-12-21,24.899999618530273,3141.969970703125
2018-12-27,23.31999969482422,3153.320068359375
2018-12-28,22.809999465942383,3149.530029296875
2019-01-02,22.475000381469727,3191.139892578125
2019-01-03,22.2549991607666,2940.239990234375
2019-01-04,22.93000030517578,2991.929931640625
2019-01-07,21.530000686645508,2805.330078125
2019-01-08,22.09000015258789,2879.719970703125
2019-01-09,21.719999313354492,2777.590087890625
2019-01-10,21.674999237060547,2787.679931640625
2019-01-11,22.2549991607666,2867.110107421875
2019-01-14,21.674999237060547,2843.14990234375
2019-01-15,22.0,2851.97998046875
2019-01-16,22.0049991607666,2950.320068359375
2019-01-17,22.9950008392334,2984.3701171875
2019-01-18,22.604999542236328,3134.39990234375
2019-01-22,21.815000534057617,3178.530029296875
2019-01-23,22.190000534057617,3116.75
2019-01-24,21.280000686645508,3034.800048828125
2019-01-25,20.889999389648438,3017.14990234375
2019-01-28,20.549999237060547,2870.889892578125
2019-01-29,20.584999084472656,2949.06005859375
2019-01-30,20.18000030517578,2907.4599609375
2019-01-31,19.850000381469727,2811.6298828125
2019-02-01,19.299999237060547,2772.550048828125
2019-02-04,19.354999542236328,2907.4599609375
2019-02-05,19.139999389648438,2921.320068359375
2019-02-06,18.915000915527344,2988.14990234375
2019-02-07,18.90999984741211,2960.409912109375
2019-02-08,18.264999389648438,2820.4599609375
2019-02-11,18.05500030517578,2824.239990234375
2019-02-12,17.78499984741211,2609.89990234375
2019-02-13,18.020000457763672,2640.159912109375
2019-02-14,17.7549991607666,2493.909912109375
2019-02-15,18.100000381469727,2574.60009765625
2019-02-19,17.704999923706055,2548.1201171875
2019-02-20,18.145000457763672,2582.159912109375
2019-02-21,17.520000457763672,2370.35009765625
2019-02-22,17.229999542236328,2388.0
2019-02-25,16.94499969482422,2425.820068359375
2019-02-26,17.045000076293945,2478.780029296875
2019-02-27,17.614999771118164,2681.77001953125
2019-02-28,17.815000534057617,2734.719970703125
2019-03-01,17.31999969482422,2809.110107421875
2019-03-04,17.399999618530273,2916.280029296875
2019-03-05,17.18000030517578,2892.330078125
2019-03-06,16.850000381469727,2790.199951171875
2019-03-07,16.8700008392334,2933.929931640625
2019-03-08,16.729999542236328,2902.409912109375
2019-03-11,16.625,2809.110107421875
2019-03-12,16.209999084472656,2815.419921875
2019-03-13,15.725000381469727,2809.110107421875
2019-03-14,15.604999542236328,2867.110107421875
2019-03-15,15.25,2833.070068359375
2019-03-18,14.979999542236328,2751.110107421875
2019-03-19,15.005000114440918,2662.860107421875
2019-03-20,15.21500015258789,2728.419921875
2019-03-21,14.5649995803833,2640.159912109375
2019-03-22,14.454999923706055,2606.1201171875
2019-03-25,14.1850004196167,2640.159912109375
2019-03-26,14.385000228881836,2715.81005859375
2019-03-27,14.994999885559082,2754.89990234375
2019-03-28,14.430000305175781,2806.590087890625
2019-03-29,14.21500015258789,2715.81005859375
2019-04-01,13.845000267028809,2762.4599609375
2019-04-02,13.454999923706055,2775.070068359375
2019-04-03,14.1899995803833,2920.06005859375
2019-04-04,14.805000305175781,3081.449951171875
2019-04-05,16.635000228881836,3101.6201171875
2019-04-08,15.96500015258789,3065.06005859375
2019-04-09,16.7549991607666,3218.8798828125
2019-04-10,15.729999542236328,3294.530029296875
2019-04-11,15.994999885559082,3444.570068359375
2019-04-12,15.854999542236328,3351.260009765625
2019-04-15,15.010000228881836,3380.260009765625
2019-04-16,14.835000038146973,3404.219970703125
2019-04-17,15.194999694824219,3462.219970703125
2019-04-18,14.460000038146973,3390.35009765625
2019-04-23,14.420000076293945,3471.0400390625
2019-04-24,14.265000343322754,3454.64990234375
2019-04-25,14.53499984741211,3439.52001953125
2019-04-26,14.425000190734863,3259.219970703125
2019-04-29,14.524999618530273,3326.050048828125
2019-04-30,14.390000343322754,3314.699951171875
2019-05-02,14.364999771118164,3114.22998046875
2019-05-03,14.5649995803833,3177.27001953125
2019-05-06,14.335000038146973,3193.659912109375
2019-05-07,14.154999732971191,3328.570068359375
